Id,CS-SINS Score
lenzilumab,0.034843477
cetuximab_igg4,0.686840529
pepinemab,1.266894488
emibetuzumab,0.08697089
trastuzumab_igg4,0.164925942
brentuximab,-0.157539042
elotuzumab,2.003944293
teplizumab,0.806090341
vonlerolizumab,0.492431239
tocilizumab,0.102981384
cnto607,0.561
bepranemab,1.236034291
rituximab_igg4,0.089027318
pinatuzumab,0.202335263
adalimumab_igg4,0.178798317
idactamab_igg4,0.116129247
omalizumab_igg4,1.196310332
mavezelimab,0.416292756
cnto607_igg4,0.738161258
anifrolumab,0.647039487
tovetumab,-0.064603819
abrilumab,2.312845984
olinvacimab_igg4,0.513496258
mavezelimab_igg4,0.450116806
idactamab,0.750831824
axatalimab_igg4,1.09397019
bococizumab,0.122751858
otlertuzumab,0.995369934
olaratumab,0.202394616
monalizumab,0.96785292
quilizumab,0.401327985
tremelimumab,0.084909285
bemarituzumab,0.221878171
fasinumab_igg4,1.077243597
carlumab,0.96508107
vedolizumab,0.71160085
patritumab,0.201925534
simtuzumab,0.417958935
mepolizumab,0.246642575
atezolizumab,0.659283081
radretumab,0.097421666
eculizumab,0.775671509
tilavonemab,0.212739484
nirsevimab_igg4,1.156645956
lebrikizumab,1.025498072
urelumab,0.869618673
gantenerumab,0.133124127
crizanlizumab,2.07231983
gosuranemab,0.196570497
denosumab,0.101043448
certolizumab,0.526308148
golimumab,0.111946543
barecetamab_igg4,1.417161654
adalimumab,0.219851503
veltuzumab,0.340968634
dupilumab_igg4,0.158131965
panitumumab,1.007408829
ficlatuzumab,0.541867994
namilumab,0.115929293
vedolizumab_igg4,0.705198659
racotumomab,0.860386501
tarextumab,0.182666463
revdofilimab,1.30831928
axatalimab,0.882511128
ibalizumab,0.493875431
bococizumab_igg4,0.10621511
brodalumab,-0.094289068
fasinumab,1.087691032
quilizumab_igg4,0.426714387
ganitumab,0.105375238
olinvacimab,0.443884704
robatumumab,0.058712377
crenezumab,2.022593013
semorinemab,0.041123322
icrucumab,0.518436743
pateclizumab,0.055104883
canakinumab,0.270099338
natalizumab,0.257492482
dacetuzumab,-0.008484679
omalizumab,1.035378875
zagotenemab,0.024845431
narsoplimab_igg4,0.41141047
conatumumab,0.301832768
aducanumab,-0.003598266
trastuzumab,0.138965829
cabiralizumab,0.86615217
rituximab,0.068320377
revdofilimab_igg4,1.35094429
visilizumab,0.106845628
matuzumab,2.131961138
andecaliximab,0.298087828
narsoplimab,0.36276354
ublituximab,1.399482139
evolocumab,0.228734714